id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome,home_advantage
1,2017,Hyderabad,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",Ay Dandekar,Nj Llong,Target is defended,Team1 Home
2,2017,Pune,2017-04-06,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,7,Spd Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,Target is chased,Team2 Home
3,2017,Rajkot,2017-04-07,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,10,Ca Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,Ck Nandan,Target is chased,Neutral
4,2017,Indore,2017-04-08,Rising Pune Supergiant,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Gj Maxwell,Holkar Cricket Stadium,Ak Chaudhary,C Shamshuddin,Target is chased,Neutral
5,2017,Bangalore,2017-04-08,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,15,0,Km Jadhav,M Chinnaswamy Stadium,Unknown,Unknown,Target is defended,Team1 Home
6,2017,Hyderabad,2017-04-09,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,Nj Llong,Target is chased,Team2 Home
7,2017,Mumbai,2017-04-09,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,N Rana,Wankhede Stadium,Nitin Menon,Ck Nandan,Target is chased,Team2 Home
8,2017,Indore,2017-04-10,Royal Challengers Bangalore,Kings Xi Punjab,Royal Challengers Bangalore,bat,normal,0,Kings Xi Punjab,0,8,Ar Patel,Holkar Cricket Stadium,Ak Chaudhary,C Shamshuddin,Target is chased,Neutral
9,2017,Pune,2017-04-11,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Delhi Daredevils,97,0,Sv Samson,Maharashtra Cricket Association Stadium,Ay Dandekar,S Ravi,Target is defended,Team2 Home
10,2017,Mumbai,2017-04-12,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,Jj Bumrah,Wankhede Stadium,Nitin Menon,Ck Nandan,Target is chased,Team2 Home
11,2017,Kolkata,2017-04-13,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,Sp Narine,Eden Gardens,A Deshmukh,Nj Llong,Target is chased,Team2 Home
12,2017,Bangalore,2017-04-14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,Ka Pollard,M Chinnaswamy Stadium,Kn Ananthapadmanabhan,Ak Chaudhary,Target is chased,Team1 Home
13,2017,Rajkot,2017-04-14,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,Aj Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,Target is chased,Neutral
14,2017,Kolkata,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,17,0,Rv Uthappa,Eden Gardens,Ay Dandekar,Nj Llong,Target is defended,Team1 Home
15,2017,Delhi,2017-04-15,Delhi Daredevils,Kings Xi Punjab,Delhi Daredevils,bat,normal,0,Delhi Daredevils,51,0,Cj Anderson,Feroz Shah Kotla,Yc Barde,Nitin Menon,Target is defended,Team1 Home
16,2017,Mumbai,2017-04-16,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi,Target is chased,Team2 Home
17,2017,Bangalore,2017-04-16,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,27,0,Ba Stokes,M Chinnaswamy Stadium,Kn Ananthapadmanabhan,C Shamshuddin,Target is defended,Team2 Home
18,2017,Delhi,2017-04-17,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,0,4,Nm Coulter-Nile,Feroz Shah Kotla,Nitin Menon,Ck Nandan,Target is chased,Team1 Home
19,2017,Hyderabad,2017-04-17,Sunrisers Hyderabad,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Sunrisers Hyderabad,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",Ay Dandekar,A Deshmukh,Target is defended,Team1 Home
20,2017,Rajkot,2017-04-18,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Royal Challengers Bangalore,21,0,Ch Gayle,Saurashtra Cricket Association Stadium,S Ravi,Vk Sharma,Target is defended,Neutral
21,2017,Hyderabad,2017-04-19,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,15,0,Ks Williamson,"Rajiv Gandhi International Stadium, Uppal",Cb Gaffaney,Nj Llong,Target is defended,Team1 Home
22,2017,Indore,2017-04-20,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,Jc Buttler,Holkar Cricket Stadium,M Erasmus,C Shamshuddin,Target is chased,Neutral
23,2017,Kolkata,2017-04-21,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,4,Sk Raina,Eden Gardens,Cb Gaffaney,Nitin Menon,Target is chased,Team1 Home
24,2017,Mumbai,2017-04-22,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,14,0,Mj Mcclenaghan,Wankhede Stadium,A Nand Kishore,S Ravi,Target is defended,Team1 Home
25,2017,Pune,2017-04-22,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,6,Ms Dhoni,Maharashtra Cricket Association Stadium,Ay Dandekar,A Deshmukh,Target is chased,Team2 Home
26,2017,Rajkot,2017-04-23,Kings Xi Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Kings Xi Punjab,26,0,Hm Amla,Saurashtra Cricket Association Stadium,Ak Chaudhary,M Erasmus,Target is defended,Neutral
27,2017,Kolkata,2017-04-23,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,82,0,Nm Coulter-Nile,Eden Gardens,Cb Gaffaney,Ck Nandan,Target is defended,Team1 Home
28,2017,Mumbai,2017-04-24,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,3,0,Ba Stokes,Wankhede Stadium,A Nand Kishore,S Ravi,Target is defended,Team2 Home
29,2017,Pune,2017-04-26,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,Rv Uthappa,Maharashtra Cricket Association Stadium,Ay Dandekar,Nj Llong,Target is chased,Team1 Home
30,2017,Bangalore,2017-04-27,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,7,Aj Tye,M Chinnaswamy Stadium,Ak Chaudhary,C Shamshuddin,Target is chased,Team1 Home
31,2017,Kolkata,2017-04-28,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,G Gambhir,Eden Gardens,Nj Llong,S Ravi,Target is chased,Team2 Home
32,2017,Chandigarh,2017-04-28,Sunrisers Hyderabad,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Sunrisers Hyderabad,26,0,Rashid Khan,"Punjab Cricket Association Is Bindra Stadium, Mohali",Nitin Menon,Ck Nandan,Target is defended,Neutral
33,2017,Pune,2017-04-29,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,61,0,Lh Ferguson,Maharashtra Cricket Association Stadium,Kn Ananthapadmanabhan,M Erasmus,Target is defended,Team1 Home
34,2017,Rajkot,2017-04-29,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,tie,0,Mumbai Indians,0,0,Kh Pandya,Saurashtra Cricket Association Stadium,Ak Chaudhary,Cb Gaffaney,Tie/No Result,Neutral
35,2017,Chandigarh,2017-04-30,Delhi Daredevils,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,10,Sandeep Sharma,"Punjab Cricket Association Is Bindra Stadium, Mohali",Yc Barde,Ck Nandan,Target is chased,Neutral
36,2017,Hyderabad,2017-04-30,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Sunrisers Hyderabad,48,0,Da Warner,"Rajiv Gandhi International Stadium, Uppal",Ay Dandekar,S Ravi,Target is defended,Team1 Home
37,2017,Mumbai,2017-05-01,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,0,5,Rg Sharma,Wankhede Stadium,Ak Chaudhary,Cb Gaffaney,Target is chased,Team2 Home
38,2017,Pune,2017-05-01,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,5,Ba Stokes,Maharashtra Cricket Association Stadium,M Erasmus,C Shamshuddin,Target is chased,Team2 Home
39,2017,Delhi,2017-05-02,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,Mohammed Shami,Feroz Shah Kotla,Yc Barde,Nitin Menon,Target is chased,Team2 Home
40,2017,Kolkata,2017-05-03,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,4,Ra Tripathi,Eden Gardens,Kn Ananthapadmanabhan,A Nand Kishore,Target is chased,Team1 Home
41,2017,Delhi,2017-05-04,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,Rr Pant,Feroz Shah Kotla,M Erasmus,Nitin Menon,Target is chased,Team2 Home
42,2017,Bangalore,2017-05-05,Kings Xi Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings Xi Punjab,19,0,Sandeep Sharma,M Chinnaswamy Stadium,Cb Gaffaney,C Shamshuddin,Target is defended,Team2 Home
43,2017,Hyderabad,2017-05-06,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Rising Pune Supergiant,12,0,Jd Unadkat,"Rajiv Gandhi International Stadium, Uppal",Kn Ananthapadmanabhan,Ak Chaudhary,Target is defended,Team2 Home
44,2017,Delhi,2017-05-06,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,146,0,Lmp Simmons,Feroz Shah Kotla,Nitin Menon,Ck Nandan,Target is defended,Team2 Home
45,2017,Bangalore,2017-05-07,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,Sp Narine,M Chinnaswamy Stadium,Ay Dandekar,C Shamshuddin,Target is chased,Team1 Home
46,2017,Chandigarh,2017-05-07,Kings Xi Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,6,Dr Smith,"Punjab Cricket Association Is Bindra Stadium, Mohali",A Nand Kishore,Vk Sharma,Target is chased,Neutral
47,2017,Hyderabad,2017-05-08,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,0,7,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",Kn Ananthapadmanabhan,M Erasmus,Target is chased,Team2 Home
48,2017,Chandigarh,2017-05-09,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings Xi Punjab,14,0,Mm Sharma,"Punjab Cricket Association Is Bindra Stadium, Mohali",A Nand Kishore,S Ravi,Target is defended,Neutral
49,2017,Kanpur,2017-05-10,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,2,Ss Iyer,Green Park,Yc Barde,Ak Chaudhary,Target is chased,Neutral
50,2017,Mumbai,2017-05-11,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings Xi Punjab,7,0,Wp Saha,Wankhede Stadium,A Deshmukh,A Nand Kishore,Target is defended,Team2 Home
51,2017,Delhi,2017-05-12,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,normal,0,Delhi Daredevils,7,0,Kk Nair,Feroz Shah Kotla,Kn Ananthapadmanabhan,Ck Nandan,Target is defended,Team1 Home
52,2017,Kanpur,2017-05-13,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,Mohammed Siraj,Green Park,Ak Chaudhary,Nitin Menon,Target is chased,Neutral
53,2017,Kolkata,2017-05-13,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,9,0,At Rayudu,Eden Gardens,A Nand Kishore,S Ravi,Target is defended,Team2 Home
54,2017,Pune,2017-05-14,Kings Xi Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,9,Jd Unadkat,Maharashtra Cricket Association Stadium,Ay Dandekar,A Deshmukh,Target is chased,Team2 Home
55,2017,Delhi,2017-05-14,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,10,0,Hv Patel,Feroz Shah Kotla,Ck Nandan,C Shamshuddin,Target is defended,Team2 Home
56,2017,Mumbai,2017-05-16,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,20,0,Washington Sundar,Wankhede Stadium,S Ravi,C Shamshuddin,Target is defended,Team2 Home
57,2017,Bangalore,2017-05-17,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,0,7,Nm Coulter-Nile,M Chinnaswamy Stadium,Ak Chaudhary,Nitin Menon,Target is chased,Neutral
58,2017,Bangalore,2017-05-19,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,Kv Sharma,M Chinnaswamy Stadium,Nj Llong,Nitin Menon,Target is chased,Neutral
59,2017,Hyderabad,2017-05-21,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,Kh Pandya,"Rajiv Gandhi International Stadium, Uppal",Nj Llong,S Ravi,Target is defended,Neutral
60,2008,Bangalore,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,140,0,Bb Mccullum,M Chinnaswamy Stadium,Asad Rauf,Re Koertzen,Target is defended,Team2 Home
61,2008,Chandigarh,2008-04-19,Chennai Super Kings,Kings Xi Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,33,0,Mek Hussey,"Punjab Cricket Association Stadium, Mohali",Mr Benson,Sl Shastri,Target is defended,Neutral
62,2008,Delhi,2008-04-19,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Delhi Daredevils,0,9,Mf Maharoof,Feroz Shah Kotla,Aleem Dar,Ga Pratapkumar,Target is chased,Team2 Home
63,2008,Mumbai,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,5,Mv Boucher,Wankhede Stadium,Sj Davis,Dj Harper,Target is chased,Team1 Home
64,2008,Kolkata,2008-04-20,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,0,Kolkata Knight Riders,0,5,Dj Hussey,Eden Gardens,Bf Bowden,K Hariharan,Target is chased,Team2 Home
65,2008,Jaipur,2008-04-21,Kings Xi Punjab,Rajasthan Royals,Kings Xi Punjab,bat,normal,0,Rajasthan Royals,0,6,Sr Watson,Sawai Mansingh Stadium,Aleem Dar,Rb Tiffin,Target is chased,Neutral
66,2008,Hyderabad,2008-04-22,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Delhi Daredevils,0,9,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Il Howell,Am Saheba,Target is chased,Neutral
67,2008,Chennai,2008-04-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,6,0,Ml Hayden,"Ma Chidambaram Stadium, Chepauk",Dj Harper,Ga Pratapkumar,Target is defended,Team1 Home
68,2008,Hyderabad,2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,Yk Pathan,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,Mr Benson,Target is chased,Neutral
69,2008,Chandigarh,2008-04-25,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings Xi Punjab,66,0,Kc Sangakkara,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,Am Saheba,Target is defended,Neutral
70,2008,Bangalore,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,Sr Watson,M Chinnaswamy Stadium,Mr Benson,Il Howell,Target is chased,Team1 Home
71,2008,Chennai,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,9,Jdp Oram,"Ma Chidambaram Stadium, Chepauk",Bf Bowden,Av Jayaprakash,Target is chased,Team2 Home
72,2008,Mumbai,2008-04-27,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,10,Ac Gilchrist,Dr Dy Patil Sports Academy,Asad Rauf,Sl Shastri,Target is chased,Team1 Home
73,2008,Chandigarh,2008-04-27,Delhi Daredevils,Kings Xi Punjab,Delhi Daredevils,bat,normal,0,Kings Xi Punjab,0,4,Sm Katich,"Punjab Cricket Association Stadium, Mohali",Re Koertzen,I Shivram,Target is chased,Neutral
74,2008,Bangalore,2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,13,0,Ms Dhoni,M Chinnaswamy Stadium,Br Doctrove,Rb Tiffin,Target is defended,Team2 Home
75,2008,Kolkata,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,7,St Jayasuriya,Eden Gardens,Bf Bowden,Av Jayaprakash,Target is chased,Team1 Home
76,2008,Delhi,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Daredevils,10,0,Gd Mcgrath,Feroz Shah Kotla,Aleem Dar,I Shivram,Target is defended,Team1 Home
77,2008,Hyderabad,2008-05-01,Deccan Chargers,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,7,Se Marsh,"Rajiv Gandhi International Stadium, Uppal",Br Doctrove,Rb Tiffin,Target is chased,Neutral
78,2008,Jaipur,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,45,0,Sa Asnodkar,Sawai Mansingh Stadium,Re Koertzen,Ga Pratapkumar,Target is defended,Neutral
79,2008,Chennai,2008-05-02,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Delhi Daredevils,0,8,V Sehwag,"Ma Chidambaram Stadium, Chepauk",Bf Bowden,K Hariharan,Target is chased,Team1 Home
80,2008,Hyderabad,2008-05-25,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Royal Challengers Bangalore,0,5,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,Re Koertzen,Target is chased,Neutral
81,2008,Chandigarh,2008-05-03,Kings Xi Punjab,Kolkata Knight Riders,Kings Xi Punjab,bat,normal,0,Kings Xi Punjab,9,0,Ik Pathan,"Punjab Cricket Association Stadium, Mohali",Dj Harper,I Shivram,Target is defended,Neutral
82,2008,Mumbai,2008-05-04,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,29,0,Sm Pollock,Dr Dy Patil Sports Academy,Il Howell,Re Koertzen,Target is defended,Team1 Home
83,2008,Jaipur,2008-05-04,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,0,8,Sohail Tanvir,Sawai Mansingh Stadium,Asad Rauf,Av Jayaprakash,Target is chased,Neutral
84,2008,Bangalore,2008-05-05,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,S Sreesanth,M Chinnaswamy Stadium,Sj Davis,Br Doctrove,Target is chased,Team1 Home
85,2008,Chennai,2008-05-06,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,7,Ac Gilchrist,"Ma Chidambaram Stadium, Chepauk",Mr Benson,Rb Tiffin,Target is chased,Team1 Home
86,2008,Mumbai,2008-05-07,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,7,A Nehra,Dr Dy Patil Sports Academy,Dj Harper,Re Koertzen,Target is chased,Team2 Home
87,2008,Delhi,2008-05-08,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,Ms Dhoni,Feroz Shah Kotla,Aleem Dar,Rb Tiffin,Target is chased,Team1 Home
88,2008,Kolkata,2008-05-08,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,5,0,Sc Ganguly,Eden Gardens,Asad Rauf,Il Howell,Target is defended,Team1 Home
89,2008,Jaipur,2008-05-09,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,Yk Pathan,Sawai Mansingh Stadium,Mr Benson,Am Saheba,Target is chased,Neutral
90,2008,Bangalore,2008-05-28,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,Crd Fernando,M Chinnaswamy Stadium,Bf Bowden,Av Jayaprakash,Target is chased,Team1 Home
91,2008,Chennai,2008-05-10,Chennai Super Kings,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Chennai Super Kings,18,0,L Balaji,"Ma Chidambaram Stadium, Chepauk",Av Jayaprakash,Bg Jerling,Target is defended,Team1 Home
92,2008,Hyderabad,2008-05-11,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,23,0,Sc Ganguly,"Rajiv Gandhi International Stadium, Uppal",Il Howell,Am Saheba,Target is defended,Neutral
93,2008,Jaipur,2008-05-11,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,Sr Watson,Sawai Mansingh Stadium,Sj Davis,Re Koertzen,Target is chased,Neutral
94,2008,Chandigarh,2008-05-12,Royal Challengers Bangalore,Kings Xi Punjab,Royal Challengers Bangalore,bat,normal,0,Kings Xi Punjab,0,9,Se Marsh,"Punjab Cricket Association Stadium, Mohali",Br Doctrove,I Shivram,Target is chased,Neutral
95,2008,Kolkata,2008-05-13,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,23,0,Shoaib Akhtar,Eden Gardens,Asad Rauf,Il Howell,Target is defended,Team1 Home
96,2008,Mumbai,2008-05-14,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,St Jayasuriya,Wankhede Stadium,Br Doctrove,Am Saheba,Target is chased,Team2 Home
97,2008,Chandigarh,2008-05-28,Kings Xi Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings Xi Punjab,41,0,Se Marsh,"Punjab Cricket Association Stadium, Mohali",Sj Davis,K Hariharan,Target is defended,Neutral
98,2008,Delhi,2008-05-15,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Delhi Daredevils,12,0,A Mishra,Feroz Shah Kotla,Bg Jerling,Ga Pratapkumar,Target is defended,Team1 Home
99,2008,Mumbai,2008-05-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,Sm Pollock,Wankhede Stadium,Br Doctrove,Dj Harper,Target is chased,Team2 Home
100,2008,Delhi,2008-05-17,Delhi Daredevils,Kings Xi Punjab,Delhi Daredevils,bat,normal,1,Kings Xi Punjab,6,0,Dpmd Jayawardene,Feroz Shah Kotla,Av Jayaprakash,Re Koertzen,Target is defended,Team1 Home
101,2008,Jaipur,2008-05-17,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rajasthan Royals,65,0,Gc Smith,Sawai Mansingh Stadium,Bf Bowden,Sl Shastri,Target is defended,Neutral
102,2008,Hyderabad,2008-05-18,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Mumbai Indians,25,0,Dj Bravo,"Rajiv Gandhi International Stadium, Uppal",Br Doctrove,Dj Harper,Target is defended,Neutral
103,2008,Kolkata,2008-05-18,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,1,Chennai Super Kings,3,0,M Ntini,Eden Gardens,Asad Rauf,K Hariharan,Target is defended,Team1 Home
104,2008,Bangalore,2008-05-19,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,Sp Goswami,M Chinnaswamy Stadium,Sj Davis,Ga Pratapkumar,Target is chased,Team1 Home
105,2008,Kolkata,2008-05-20,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,Yk Pathan,Eden Gardens,Bg Jerling,Re Koertzen,Target is chased,Team1 Home
106,2008,Mumbai,2008-05-21,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings Xi Punjab,1,0,Se Marsh,Wankhede Stadium,Bf Bowden,Ga Pratapkumar,Target is defended,Team2 Home
107,2008,Chennai,2008-05-21,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,14,0,A Kumble,"Ma Chidambaram Stadium, Chepauk",Dj Harper,I Shivram,Target is defended,Team2 Home
108,2008,Chandigarh,2008-05-23,Deccan Chargers,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Se Marsh,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,Sj Davis,Target is chased,Neutral
109,2008,Delhi,2008-05-24,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,Kd Karthik,Feroz Shah Kotla,Bf Bowden,K Hariharan,Target is chased,Team2 Home
110,2008,Chennai,2008-05-24,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,10,0,Ja Morkel,"Ma Chidambaram Stadium, Chepauk",Dj Harper,Sl Shastri,Target is defended,Team2 Home
111,2008,Bangalore,2008-05-03,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Royal Challengers Bangalore,3,0,P Kumar,M Chinnaswamy Stadium,Br Doctrove,Sl Shastri,Target is defended,Team1 Home
112,2008,Kolkata,2008-05-25,Kings Xi Punjab,Kolkata Knight Riders,Kings Xi Punjab,bat,normal,0,Kolkata Knight Riders,0,3,Umar Gul,Eden Gardens,Sj Davis,I Shivram,Target is chased,Team2 Home
